,id,text,author_id,lang,withheld,geo
0,1389462584471007232,RT @Portes_Thomas: Les lycéens se mobilisent pour passer le bac en contrôle continu. Les étudiants crèvent de faim. Les professeurs ne sont…,522464657,fr,,
1,1389462583250329601,"RT @CNN: There have been more Covid-19 cases reported worldwide in the past two weeks than in the first six months of the pandemic, the Wor…",452473850,en,,
2,1389462582432464899,"@mla_sudhakar Hello sir, I visited one of the BBMP center today for my parents 2nd dose vaccine. Most of the visitors were Covid patients. How are you allowing those patients with people who come to take vaccine. It's becoming spreading ce
 
@CMofKarnataka
@siddaramaiah",3401360113,en,,
3,1389462582268944385,"RT @wolfofnewstreet: Hmm, abeg what did Melinda find out? I've already taken the vaccine o, hay God",4122258611,en,,
4,1389462582130511872,RT @PuangSad: ยายได้คิวฉีด Vaccine Astrazeneca เดือนหน้า สำหรับคนแก่อายุ 80 กว่า โรคประจำตัวความดันโลหิตสูง ทั้งวัคซีนและโรคไม่มีปัญหา ผลข้…,884882329,th,,
5,1389462581388087305,RT @CaptMarkKelly: Important news: You can now head to any state-run site to get your vaccine — no appointment required. Retweet to spread…,820384458633191424,en,,
6,1389462580201152518,"RT @jedi_fu: Apparently the people making money off the vaccines get paid by the injection, because they’re making it imperative that every…",1348965994388201472,en,,
7,1389462580083703812,"RT @FaheemYounus: How Vaccine Can Liberate You

See the right side of the graphic https://t.co/YoSw3Pm3lI",1126568439634591744,en,,
8,1389462579945164803,RT @abramovitzra: Banned from YouTube: Dr. Simone Gold shares the truth about the COVID-19 vaccines https://t.co/hFeIQhn5A6,1078949226,en,,
9,1389462579928576002,"RT @kellygrant1: I wrote today about infections after the 1st dose in Canada. There was plenty of info I didn't have room to include, so if…",258652587,en,,
0,1389462579534127106,RT @rohini_sgh: Dear @drharshvardhan- if you are done with your chaaplusi and low level trolling can you inform citizens why hasn’t the Pfi…,60090629,en,,
1,1389462578921881601,"RT @Booker4KY: Big Pharma greed vs saving lives. The choice is simple.

Waive the vaccine patents.",4020300981,en,,
2,1389462578603065349,RT @ASCALON_dnity: วัคซีนโควิดของ Pfizer กับ Moderna เป็น mRNA vaccine ไม่ปลอดภัยสำหรับคนที่เคยมีอาการแพ้แบบรุนแรง (anaphylaxis) หรือมีการแ…,1114179716838092803,th,,
3,1389462578145886213,RT @ASCALON_dnity: วัคซีนโควิดของ Pfizer กับ Moderna เป็น mRNA vaccine ไม่ปลอดภัยสำหรับคนที่เคยมีอาการแพ้แบบรุนแรง (anaphylaxis) หรือมีการแ…,569973421,th,,
4,1389462578087137284,"RT @dyradyre: They’ll provide. When you come, just bring your IC &amp; Phone

You’ll have to register then watch a video about the vaccine. Lep…",867356204,en,,
5,1389462574924718081,"RT @TooFab: While McCain is fully vaccinated, she defended those in her party who still have hesitancy about getting their shots: https://t…",993258423939665920,en,,
6,1389462574610227200,"RT @gavaruzzi: Excellent point! Filling the ""knowledge gap"" is not the right perspective to increase acceptance.

Vaccine Skepticism Was Vi…",218189326,en,,
7,1389462574467457027,RT @cnni: The US Food and Drug Administration will authorize Pfizer/BioNTech's coronavirus vaccine in children and teens ages 12 to 15 by e…,39195242,en,,
8,1389462574199017474,RT @vanitajain21: First reaction after second dose of vaccine😂😂 https://t.co/dVEx1T79bk,2272345550,en,,
9,1389462573989474306,RT @globalhlthtwit: Many millions will die this year. It's no longer enough to beg Europe/USA to share vaccines + donate money. It won't wo…,445814087,en,,
0,1389462573888704512,i have a joke on vaccine but its only for 18+.,331796940,en,,
1,1389462573435613189,RT @nanaicez: Vaccine Tourism ประเทศที่รอคอยมากที่สุดคือ ญี่ปุ่นกับเกาหลี,293387258,th,,
2,1389462573343514624,RT @TheWellUNC: A decade of mRNA research helped scientists quickly develop COVID-19 vaccines. Read more: https://t.co/jxus9ubUcn,3096636594,en,,
3,1389462573247049728,RT @SauravS_13: Poonawalla said he had not expanded capacity earlier because of lack of orders. Severe vaccine shortage would continue thro…,759797704968904704,en,,
4,1389462572596817922,RT @nanaicez: Vaccine Tourism ประเทศที่รอคอยมากที่สุดคือ ญี่ปุ่นกับเกาหลี,883362673030701061,th,,
5,1389462572563374080,"RT @AlexBerenson: Can anyone point me to whether the budget for the vaccine advertising - print, TV, online, influencer, etc - is coming fr…",1203650301938618374,en,,
6,1389462572496195585,Gov. Noem bans 'vaccine passports' in South Dakota - Sara A. Carter https://t.co/ioX13Ka1cW,1289612789515001857,ht,,
7,1389462572156350469,RT @rohini_sgh: Dear @drharshvardhan- if you are done with your chaaplusi and low level trolling can you inform citizens why hasn’t the Pfi…,860131502,en,,
8,1389462571686715394,"@BellomoAnnamar6 🍀vacciné ok, mais peut contaminer et être contaminer 🤔🙁",939155004568555520,fr,,
9,1389462571049177090,RT @crwriter1: KEELE UNIVERSITY CANCELS ALL ALUMINUM RESEARCH  https://t.co/1Vl99KBiVt https://t.co/hN6a9QDHXA https://t.co/1Vl99KBiVt #inv…,23231925,en,,
0,1389462571040772096,"RT @HaryaxPathak: Let's talk about Vaccines.

Still seeing a lot of confusion going around about the Mechanism of vaccines in use. I will a…",1101040653222391809,en,,
1,1389462570499723265,@drharshvardhan @PMOIndia @MoHFW_INDIA We are ready but vaccine not available .,102305353,en,,
2,1389462570445287424,"RT @jsinclair29: Barnier admits UK vaccine roll out would not have happened if they were still in thr EU. 

Are you listening @NicolaSturge…",592066202,en,,
3,1389462570277478401,"RT @calamur: Vaccine wastage by state  - Maharashtra amongst the lowest 0.22% 
most wastage - Bihar, Haryana, Punjab, UP - all over 3.5%
th…",984056240,en,,
4,1389462569824526336,"RT @jaysaran: TPBS สรุปเรื่อง vaccine

Moderna เอกชนเอาเข้าจ่ายเอง
Pfizer ถ้าได้ฉีดในเด็กก่อน
AZ Sinovac ตัวยืน
AZ ให้ในอายุมากกว่า 60
Sput…",626463001,th,,
5,1389462569669169155,"India: *thousands of people dying each day.

Privileged people: 
“Covid is a hoax! Vaccines bad! Just a flu!”

I dare you to spout crap like that to a grieving family that lost one of their loved ones to a “flu.”",1332163870127886338,en,,
6,1389462568897589253,"RT @lindyli: The most vaccine-hesitant group in America?

Republican men

The sex traffickers in government?

Republican men

Vast majority…",2402201444,en,,
7,1389462568654106624,RT @jitengajaria: More people in Gujarat have been fully vaccinated (both doses) than Maharashtra. Though Maharashtra was given more vaccin…,1030312375105343488,en,,
8,1389462568415252480,"RT @HistoryMuppet: Me and the squad after we’re fully vaccinated 

Get your vaccine (if you can) folks!!
 https://t.co/Now56YsCS3",3318389963,en,,
9,1389462567223971842,"RT @nytimes: As the coronavirus evolves and the vaccine rate slips, the U.S. may never reach the threshold for “herd immunity,” public heal…",31765129,en,,
0,1389462566779293699,"RT @Prabhu68349006: When the situation in Rajasthan was uncontrollable, why did the Gehlot government give 10 thousand Remedesivir injectio…",4835973764,en,,
1,1389462566569594887,"RT @ChitnisPurva: Drive in vaccination centre in Mumbai for senior citizens and specially abled people. 

Location- Dadar

@DighavkarKiran…",15056041,en,,
2,1389462566494253057,"RT @QnOfHell: मोदी सरकार जो भी काम करते है बिना प्लानिंग के।
पहले lockdown और अब ये टीका अभियान।
ना तो प्लानिंग की और ना ही vaccine की आपू…",886576262537465856,hi,,
