date,datetime,soarin_wait,spaceship_wait
1/1/2020,1/1/2020 8:43,10,5
1/1/2020,1/1/2020 8:50,10,5
1/1/2020,1/1/2020 8:57,10,5
1/1/2020,1/1/2020 9:08,25,-999
1/1/2020,1/1/2020 9:15,25,-999
1/1/2020,1/1/2020 9:17,,-999
1/1/2020,1/1/2020 9:22,25,-999
1/1/2020,1/1/2020 9:29,35,0
1/1/2020,1/1/2020 9:36,35,10
1/1/2020,1/1/2020 9:43,40,20
1/1/2020,1/1/2020 9:50,40,20
1/1/2020,1/1/2020 9:57,55,
1/1/2020,1/1/2020 10:08,40,25
1/1/2020,1/1/2020 10:09,40,25
1/1/2020,1/1/2020 10:15,50,25
1/1/2020,1/1/2020 10:22,50,25
1/1/2020,1/1/2020 10:29,45,25
1/1/2020,1/1/2020 10:36,40,30
1/1/2020,1/1/2020 10:43,40,30
1/1/2020,1/1/2020 10:50,55,30
1/1/2020,1/1/2020 10:57,65,40
1/1/2020,1/1/2020 11:08,80,45
1/1/2020,1/1/2020 11:15,80,45
1/1/2020,1/1/2020 11:22,70,45
1/1/2020,1/1/2020 11:29,65,50
1/1/2020,1/1/2020 11:36,55,
1/1/2020,1/1/2020 11:43,55,50
1/1/2020,1/1/2020 11:50,60,50
1/1/2020,1/1/2020 11:57,70,50
1/1/2020,1/1/2020 12:08,60,60
1/1/2020,1/1/2020 12:15,60,60
1/1/2020,1/1/2020 12:22,55,65
1/1/2020,1/1/2020 12:29,50,70
1/1/2020,1/1/2020 12:36,50,70
1/1/2020,1/1/2020 12:43,50,70
1/1/2020,1/1/2020 12:50,50,75
1/1/2020,1/1/2020 12:57,65,75
1/1/2020,1/1/2020 13:08,65,75
1/1/2020,1/1/2020 13:15,85,70
1/1/2020,1/1/2020 13:22,110,60
1/1/2020,1/1/2020 13:29,135,45
1/1/2020,1/1/2020 13:36,145,45
1/1/2020,1/1/2020 13:43,125,45
1/1/2020,1/1/2020 13:50,110,25
1/1/2020,1/1/2020 13:57,70,20
1/1/2020,1/1/2020 14:04,60,15
1/1/2020,1/1/2020 14:08,60,20
1/1/2020,1/1/2020 14:15,60,20
